lhs_size,rhs_size,naive_time_us,fft_time_us
100,100,103,216
100,100,103,213
100,100,103,217
100,100,103,216
100,100,107,229
100,100,149,276
100,100,103,216
100,100,104,216
100,100,103,215
100,100,103,248
100,100,103,214
100,100,170,266
100,100,103,216
100,100,103,217
100,100,183,332
100,100,103,215
100,100,103,213
100,100,103,215
100,100,103,218
100,100,109,238
100,100,112,239
100,100,226,290
100,100,103,214
100,100,115,267
100,100,103,213
100,100,104,219
100,100,183,300
100,100,103,214
100,100,103,215
100,100,103,216
100,100,139,216
100,100,103,215
100,100,104,214
100,100,103,213
100,100,174,310
100,100,122,222
100,100,104,214
100,100,103,260
100,100,104,213
100,100,103,213
100,100,228,261
100,100,238,300
100,100,181,274
100,100,103,214
100,100,104,214
100,100,103,212
100,100,242,353
100,100,103,214
100,100,159,279
100,100,159,299
100,100,104,214
100,100,107,222
100,200,207,270
100,200,392,459
100,200,342,264
100,200,199,261
100,200,497,349
100,200,348,489
100,200,498,453
100,200,290,495
100,200,200,248
100,200,206,278
100,200,206,255
100,200,199,268
100,200,200,248
100,200,199,269
100,200,199,269
100,200,200,251
100,200,316,520
100,200,207,309
100,200,247,345
100,200,377,368
200,200,392,259
200,200,737,415
200,200,423,350
200,200,660,553
200,200,690,389
200,200,525,371
200,200,590,305
200,200,585,369
200,200,391,280
200,200,550,279
200,200,391,254
200,200,458,329
200,200,392,285
200,200,391,253
200,200,394,282
200,200,391,251
200,200,445,282
200,200,391,348
200,200,392,254
200,200,446,281
200,200,391,251
200,200,435,271
200,200,390,252
200,200,690,437
200,200,391,278
200,200,462,254
200,200,391,281
200,200,743,358
200,200,580,408
200,200,412,261
200,200,473,255
200,200,392,256
200,200,443,257
200,200,415,412
200,200,390,255
200,200,390,251
200,200,435,325
200,200,391,256
200,200,441,263
200,200,415,274
200,200,706,368
200,200,688,369
200,200,583,321
200,200,473,259
200,200,393,254
200,200,393,255
200,200,391,254
200,200,392,254
200,200,443,299
200,200,408,299
200,200,392,254
200,200,438,252
200,200,393,256
200,200,701,367
200,200,472,256
200,200,393,255
200,200,393,255
200,200,494,254
200,200,394,254
200,200,576,357
200,200,393,284
200,200,576,387
200,200,460,256
200,200,409,251
200,200,584,377
200,200,444,275
200,200,390,253
200,200,390,252
200,200,573,257
200,200,392,252
200,200,390,255
200,200,447,251
200,200,472,286
200,200,426,254
200,200,391,254
200,200,462,256
200,200,392,253
200,200,465,253
200,200,497,328
200,200,392,254
200,200,405,284
200,200,390,252
200,200,402,251
200,200,391,257
200,200,549,254
200,200,574,344
200,200,392,254
200,200,582,396
200,200,390,254
200,200,595,324
200,200,391,253
200,200,390,257
200,200,447,258
200,200,392,256
200,200,600,387
200,200,392,255
200,200,450,255
200,200,417,333
200,200,392,319
200,200,469,255
200,200,420,326
200,200,391,251
200,200,491,255
200,200,782,362
200,200,716,363
200,200,619,323
200,200,391,253
200,200,391,256
200,200,390,254
200,200,646,345
200,200,391,252
200,200,391,255
200,200,717,359
200,200,390,276
200,200,461,253
200,200,391,256
200,200,545,338
200,200,496,325
200,200,392,313
200,200,439,326
200,200,391,253
200,200,391,255
200,200,391,254
200,200,624,335
200,200,390,254
200,200,419,257
200,200,392,254
200,200,427,252
200,200,687,331
200,200,393,253
200,200,448,312
200,200,600,287
200,200,393,253
200,200,438,253
200,200,394,316
200,200,438,261
200,200,414,260
200,200,669,259
200,200,393,250
200,200,393,255
200,200,393,259
200,200,393,254
200,200,425,265
200,200,393,254
200,200,393,257
200,200,573,371
200,200,393,256
200,200,393,257
200,200,627,350
200,200,392,251
200,200,393,288
200,200,643,926
200,200,446,253
200,200,393,254
200,200,393,251
200,200,394,325
200,200,962,404
200,200,497,253
200,200,393,252
200,200,391,255
200,200,441,254
200,200,442,325
200,200,393,255
200,200,392,252
200,200,394,252
200,200,709,418
200,200,465,256
200,200,394,256
200,200,596,253
200,200,665,401
200,200,424,286
200,200,608,329
200,200,425,252
200,200,448,255
200,200,392,254
200,200,414,254
200,200,391,256
200,200,566,396
200,200,457,255
200,200,393,252
200,200,570,313
200,200,453,252
200,200,505,376
200,200,637,327
200,200,953,382
200,200,406,270
200,200,839,389
200,200,407,345
200,200,623,262
200,200,393,252
200,200,460,263
200,200,435,262
200,200,487,407
200,200,768,325
200,200,455,299
200,200,407,264
200,200,412,266
200,200,425,272
200,200,440,284
200,200,606,441
200,200,467,359
200,200,510,706
200,200,392,254
200,200,393,251
200,200,426,252
200,200,641,341
200,200,462,323
200,200,393,256
200,200,636,328
200,200,407,263
200,200,416,270
200,200,574,357
200,200,393,252
200,200,393,260
200,200,441,282
200,200,407,287
200,200,424,252
200,200,458,254
200,200,592,373
200,200,392,256
200,200,685,305
200,200,392,257
200,200,1360,391
200,200,412,252
200,200,435,280
200,200,393,255
200,200,624,399
200,200,594,295
200,200,447,253
200,200,391,254
200,200,857,322
200,200,392,254
200,200,570,445
200,200,391,254
200,200,392,254
200,200,448,254
200,200,391,255
200,200,652,358
200,200,638,307
200,200,391,253
200,200,448,253
200,200,392,253
200,200,601,351
200,200,416,253
200,200,391,254
200,200,590,332
200,200,466,255
200,200,634,296
200,200,463,255
200,200,393,249
200,200,731,361
200,200,671,312
200,200,465,265
200,200,472,255
200,200,695,477
200,200,443,254
